MAGX,MAGY,MAGZ
-27.23,-15.86,298.98
-26.63,-15.36,299.38
-26.63,-15.56,298.68
-26.43,-15.56,299.18
-26.63,-15.66,298.78
-26.63,-15.96,298.88
-27.13,-15.56,299.57
-27.32,-15.46,298.78
-27.23,-15.66,298.58
-26.83,-15.46,299.38
-26.63,-15.36,299.97
-26.53,-15.66,298.88
-26.53,-15.76,299.87
-26.93,-15.46,300.27
-26.93,-15.36,299.8
-27.3,-15.46,299.97
-26.93,-15.96,299.38
-26.73,-15.46,299.67
-26.93,-15.16,298.38
-26.73,-15.56,299.28
-26.73,-15.6,298.28
-26.73,-15.16,298.98
-26.73,-15.76,299.18
-26.73,-15.86,299.77
-27.3,-15.76,299.57
-26.13,-15.86,299.77
-26.43,-15.56,297.68
-26.63,-15.66,298.48
-26.83,-15.26,298.68
-26.63,-15.36,298.58
-26.73,-15.46,298.58
-26.43,-15.86,298.68
-26.43,-15.66,299.28
-26.23,-15.56,299.18
-26.23,-15.56,299.48
-26.23,-15.46,298.88
-26.73,-15.86,298.68
-26.93,-15.36,300.7
-26.43,-15.46,299.57
-26.63,-15.76,298.98
-26.63,-15.46,298.68
-26.93,-15.66,298.58
-26.53,-15.76,298.58
-26.43,-15.56,297.58
-26.93,-15.76,298.78
-26.73,-15.66,299.28
-26.93,-15.56,299.38
-27.3,-15.46,299.97
-26.83,-15.46,298.78
-26.93,-15.46,299.8
-26.93,-16.6,298.58
-26.73,-15.66,300.7
-27.23,-15.76,300.37
-26.73,-15.66,299.18
-27.3,-15.76,299.48
-27.13,-15.36,298.88
-26.93,-15.36,299.67
-26.83,-15.46,298.68
-26.83,-15.86,299.67
-27.52,-15.96,299.28
-26.93,-15.56,299.38
-27.32,-15.36,298.68
-27.3,-15.66,298.98
-27.3,-15.46,298.98
-26.83,-15.26,298.78
-27.13,-15.46,298.88
-27.3,-15.76,298.58
-26.73,-15.76,298.88
-26.63,-15.56,298.68
-26.63,-15.66,298.98
-26.63,-15.36,298.88
-26.83,-15.66,299.18
-26.83,-15.56,299.18
-26.93,-15.36,299.97
-26.63,-15.46,297.88
-27.3,-15.46,299.38
-26.83,-15.56,298.68
-26.93,-15.66,299.87
-26.83,-15.36,299.57
-26.83,-15.66,298.88
-26.63,-15.56,298.78
-26.63,-15.56,298.98
-26.93,-15.66,299.18
-27.13,-15.36,299.57
-26.73,-15.66,298.78
-26.43,-15.66,298.68
-26.33,-15.56,299.48
-26.53,-15.26,298.88
-26.53,-15.76,298.58
-27.3,-15.86,299.48
-26.93,-15.66,298.78
-26.53,-15.36,299.28
-26.73,-15.66,298.98
-27.3,-15.96,299.28
-26.93,-15.86,299.38
-26.83,-15.76,299.18
-26.83,-15.76,298.38
-26.73,-15.66,298.58
-26.73,-15.66,298.88
-26.73,-15.76,299.48
-26.53,-15.76,298.68
-26.23,-15.66,298.28
-26.33,-15.56,298.88
-26.63,-15.76,298.68
-26.63,-15.46,298.28
-26.33,-15.46,299.38
-26.73,-15.46,298.68
-26.93,-15.66,299.48
-26.73,-15.86,299.77
-26.73,-15.56,298.88
-26.63,-15.56,298.18
-27.3,-15.46,298.58
-26.93,-15.36,298.58
-26.63,-15.56,298.48
-26.63,-15.46,298.68
-26.33,-15.66,299.28
-26.73,-15.66,298.38
-26.63,-15.76,298.58
-26.43,-15.46,299.57
-26.83,-15.56,300.17
-26.43,-15.46,299.77
-26.43,-15.56,298.48
-26.43,-15.36,299.67
-26.43,-15.26,298.98
-26.33,-15.56,299.28
-26.53,-15.6,298.8
-26.93,-15.26,298.78
-26.73,-15.16,298.58
-26.93,-14.96,299.57
-26.83,-15.46,299.77
