# Simulation 2 (Up to date)
# 813 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (77.6 ft/s)
#
# Time (s),Altitude (ft)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
14.976,3208.8
15.026,3205.7
15.076,3202.6
15.126,3199.6
15.176,3196.5
15.226,3193.5
15.276,3190.4
15.326,3187.4
15.376,3184.4
15.426,3181.5
15.476,3178.5
15.526,3175.6
15.576,3172.7
15.626,3169.8
15.676,3166.9
15.726,3164.1
15.776,3161.2
15.826,3158.4
15.876,3155.7
15.926,3152.9
15.976,3150.2
16.026,3147.6
16.076,3144.9
16.126,3142.3
16.176,3139.8
16.226,3137.2
16.276,3134.7
16.326,3132.2
16.376,3129.8
16.426,3127.4
16.476,3125
16.526,3122.7
16.576,3120.4
16.626,3118.1
16.676,3115.8
16.726,3113.6
# Event EJECTION_CHARGE occurred at t=16.776 seconds
16.776,3111.4
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=16.777 seconds
16.781,3111.2
16.784,3111.1
16.787,3111
16.789,3110.8
16.792,3110.7
16.796,3110.6
16.799,3110.5
16.802,3110.3
16.806,3110.2
16.81,3110.1
16.814,3109.9
16.819,3109.8
16.824,3109.6
16.829,3109.5
16.834,3109.3
16.84,3109.1
16.846,3109
16.853,3108.8
16.86,3108.6
16.868,3108.4
16.877,3108.1
16.887,3107.9
16.897,3107.7
16.908,3107.4
16.921,3107.1
16.935,3106.8
16.951,3106.5
16.97,3106.2
16.991,3105.8
17.016,3105.3
17.045,3104.8
17.081,3104.2
17.125,3103.5
17.181,3102.7
17.255,3101.5
17.351,3100.1
17.482,3098.1
17.644,3095.7
17.889,3091.9
18.389,3084.1
18.889,3076.2
19.389,3068.3
19.889,3060.5
20.389,3052.6
20.889,3044.8
21.389,3036.9
21.889,3029
22.389,3021.2
22.889,3013.3
23.389,3005.5
23.889,2997.6
24.389,2989.8
24.889,2981.9
25.389,2974.1
25.889,2966.2
26.389,2958.4
26.889,2950.5
27.389,2942.7
27.889,2934.8
28.389,2927
28.889,2919.2
29.389,2911.3
29.889,2903.5
30.389,2895.6
30.889,2887.8
31.389,2879.9
31.889,2872.1
32.389,2864.3
32.889,2856.4
33.389,2848.6
33.889,2840.8
34.389,2832.9
34.889,2825.1
35.389,2817.3
35.8,2810.8
36.3,2803
36.8,2795.2
37.298,2787.4
37.798,2779.6
38.298,2771.8
38.798,2763.9
39.298,2756.1
39.798,2748.3
40.298,2740.5
40.798,2732.7
41.298,2724.8
41.798,2717
42.298,2709.2
42.798,2701.4
43.298,2693.6
43.798,2685.8
44.298,2677.9
44.798,2670.1
45.298,2662.3
45.798,2654.5
46.298,2646.7
46.798,2638.9
47.298,2631.1
47.798,2623.3
48.298,2615.5
48.798,2607.7
49.249,2600.7
49.749,2592.9
50.249,2585.1
50.749,2577.3
51.234,2569.7
51.672,2562.9
52.172,2555.1
52.672,2547.3
53.172,2539.5
53.672,2531.7
54.167,2524
54.605,2517.2
55.105,2509.4
55.605,2501.6
56.079,2494.2
56.579,2486.4
57.079,2478.6
57.579,2470.9
58.063,2463.3
58.549,2455.8
59.028,2448.3
59.525,2440.6
59.959,2433.9
60.31,2428.4
60.81,2420.6
61.31,2412.8
61.81,2405
62.31,2397.3
62.81,2389.5
63.31,2381.7
63.81,2373.9
64.31,2366.2
64.81,2358.4
65.274,2351.1
65.774,2343.4
66.274,2335.6
66.774,2327.8
67.274,2320.1
67.753,2312.6
68.217,2305.4
68.717,2297.6
69.217,2289.9
69.652,2283.2
70.152,2275.4
70.652,2267.7
71.082,2261
71.582,2253.2
72.082,2245.4
72.582,2237.7
73.082,2229.9
73.582,2222.1
74.036,2215.1
74.427,2209.1
74.927,2201.3
75.427,2193.6
75.822,2187.4
76.322,2179.7
76.822,2171.9
77.322,2164.2
77.822,2156.4
78.322,2148.7
78.822,2140.9
79.322,2133.2
79.822,2125.4
80.322,2117.7
80.822,2109.9
81.285,2102.8
81.785,2095
82.216,2088.4
82.716,2080.7
83.216,2072.9
83.716,2065.2
84.216,2057.4
84.714,2049.7
85.214,2042
85.635,2035.5
86.135,2027.7
86.533,2021.5
87.033,2013.8
87.533,2006
88.033,1998.3
88.533,1990.6
89.033,1982.8
89.533,1975.1
90.033,1967.4
90.52,1959.9
91.02,1952.1
91.431,1945.7
91.931,1938
92.31,1932.1
92.81,1924.3
93.31,1916.6
93.81,1908.9
94.31,1901.2
94.809,1893.5
95.295,1886
95.795,1878.3
96.295,1870.6
96.795,1862.8
97.252,1855.7
97.704,1848.8
98.204,1841.1
98.667,1834
99.167,1826.3
99.648,1818.9
99.971,1813.8
100.47,1806.1
100.97,1798.4
101.47,1790.7
101.97,1783
102.47,1775.3
102.97,1767.6
103.47,1759.9
103.97,1752.2
104.47,1744.4
104.97,1736.8
105.42,1729.8
105.92,1722.1
106.42,1714.5
106.89,1707.2
107.39,1699.5
107.82,1692.9
108.31,1685.4
108.81,1677.7
109.31,1670
109.81,1662.3
110.31,1654.6
110.74,1647.9
111.24,1640.2
111.74,1632.5
112.24,1624.8
112.73,1617.3
113.21,1610
113.69,1602.6
114.17,1595.3
114.65,1587.9
115.13,1580.5
115.61,1573
116.04,1566.5
116.54,1558.8
117.04,1551.1
117.54,1543.5
118.02,1536.2
118.52,1528.5
118.99,1521.2
119.47,1513.9
119.93,1506.9
120.43,1499.3
120.83,1493.1
121.3,1485.9
121.78,1478.6
122.28,1470.9
122.78,1463.2
123.28,1455.6
123.78,1447.9
124.28,1440.2
124.78,1432.6
125.28,1424.9
125.73,1417.9
126.23,1410.3
126.73,1402.6
127.11,1396.7
127.61,1389
128.11,1381.4
128.61,1373.7
129.11,1366.1
129.61,1358.4
130.07,1351.3
130.52,1344.5
131,1337.3
131.5,1329.6
132,1322
132.47,1314.7
132.96,1307.2
133.43,1300.1
133.91,1292.6
134.39,1285.4
134.86,1278.2
135.35,1270.6
135.8,1263.8
136.3,1256.2
136.75,1249.1
137.25,1241.6
137.73,1234.2
138.21,1226.9
138.66,1220
139.16,1212.4
139.58,1205.9
140.08,1198.2
140.58,1190.6
141.03,1183.8
141.53,1176.2
142.02,1168.5
142.52,1161.1
142.95,1154.5
143.45,1146.8
143.95,1139.2
144.38,1132.6
144.78,1126.5
145.28,1118.9
145.78,1111.3
146.28,1103.6
146.78,1096
147.2,1089.6
147.7,1082
148.14,1075.2
148.64,1067.5
149.14,1059.9
149.64,1052.3
150.14,1044.7
150.62,1037.4
151.12,1029.8
151.54,1023.4
152,1016.4
152.4,1010.4
152.9,1002.8
153.4,995.15
153.77,989.42
154.27,981.79
154.67,975.71
155.17,968.1
155.67,960.48
156.17,952.86
156.67,945.25
157.17,937.63
157.67,930.02
158.17,922.4
158.67,914.81
159.17,907.19
159.67,899.59
160.13,892.6
160.63,885.01
161.13,877.39
161.63,869.8
162.03,863.77
162.53,856.18
163.03,848.56
163.53,840.98
164.02,833.53
164.52,825.96
165.02,818.34
165.45,811.81
165.88,805.38
166.38,797.79
166.88,790.18
167.38,782.6
167.88,775
168.33,768.17
168.83,760.56
169.32,753.11
169.8,745.73
170.18,740.03
170.68,732.42
171.18,724.86
171.68,717.25
172.18,709.69
172.65,702.58
173.06,696.29
173.56,688.69
174.06,681.12
174.56,673.52
175.01,666.71
175.46,659.84
175.96,652.28
176.46,644.69
176.91,637.83
177.4,630.49
177.87,623.27
178.34,616.14
178.82,608.97
179.24,602.6
179.74,595.04
180.17,588.49
180.67,580.93
181.17,573.34
181.67,565.79
182.17,558.2
182.64,551.08
183.06,544.92
183.56,537.37
184.06,529.79
184.55,522.26
184.99,515.77
185.49,508.22
185.99,500.64
186.49,493.1
186.94,486.28
187.41,479.19
187.87,472.21
188.37,464.68
188.83,457.77
189.33,450.23
189.78,443.39
190.27,436.06
190.69,429.66
191.19,422.13
191.69,414.56
192.16,407.46
192.63,400.42
193.03,394.36
193.53,386.79
193.94,380.57
194.44,373
194.85,366.79
195.35,359.23
195.85,351.7
196.35,344.13
196.85,336.61
197.35,329.04
197.8,322.28
198.27,315.08
198.75,307.82
199.22,300.79
199.7,293.59
200.16,286.59
200.64,279.47
201.09,272.66
201.59,265.14
201.99,259.1
202.49,251.58
202.99,244.02
203.43,237.4
203.83,231.46
204.33,223.94
204.83,216.39
205.33,208.87
205.83,201.32
206.33,193.81
206.82,186.41
207.32,178.91
207.77,172.23
208.19,165.86
208.69,158.31
209.19,150.81
209.57,145.06
210.07,137.54
210.57,130
211.07,122.5
211.57,114.96
211.96,109.08
212.46,101.55
212.87,95.382
213.37,87.844
213.87,80.342
214.37,72.803
214.87,65.312
215.31,58.746
215.81,51.255
216.28,44.202
216.76,36.921
217.23,29.977
217.58,24.578
218.08,17.046
218.53,10.282
219.02,2.9542
# Event GROUND_HIT occurred at t=219.52 seconds
# Event SIMULATION_END occurred at t=219.52 seconds
219.52,-4.5315
