0,NaN
0.01,NaN
0.02,0
0.03,0
0.04,0
0.05,291.79
0.06,210.35
0.07,164.76
0.08,135.62
0.09,115.12
0.1,99.943
0.11,242.72
0.11996,217.4
0.12895,197.75
0.13721,182.69
0.1449,170.68
0.15211,264.53
0.15893,250.86
0.16916,236.03
0.18451,216.58
0.20752,269
0.24205,229.81
0.29205,244.28
0.34205,248.2
0.39205,251.42
0.44205,254.18
0.49205,256.23
0.54205,257.56
0.59205,258.51
0.64205,259.28
0.69205,259.94
0.74205,260.51
0.79205,261.01
0.84205,261.46
0.89205,261.85
0.94205,262.21
0.99205,262.54
1.042,262.84
1.092,263.12
1.142,263.38
1.192,263.62
1.242,263.84
1.292,264.02
1.342,264.18
1.392,264.32
1.442,264.43
1.492,264.53
1.542,264.63
1.592,264.75
1.642,264.86
1.692,265.37
1.742,266.2
1.792,266.88
1.842,267.43
1.892,267.86
1.942,268.18
1.992,268.4
2.042,268.52
2.092,268.54
2.142,268.48
2.192,262.78
2.242,268.13
2.292,267.85
2.342,267.5
2.392,267.09
2.442,266.62
2.492,266.1
2.542,265.92
2.592,266.19
2.642,266.52
2.692,266.76
2.742,266.92
2.792,267
2.842,267.01
2.892,266.94
2.942,266.81
2.992,266.61
3.042,266.34
3.092,266.04
3.142,265.91
3.192,265.92
3.242,265.92
3.292,265.93
3.342,265.91
3.392,265.88
3.442,265.8
3.492,265.75
3.542,265.73
3.592,265.75
3.642,265.79
3.692,265.74
3.742,265.68
3.792,265.69
3.842,265.68
3.892,265.67
3.942,265.69
3.992,265.66
4.042,265.62
4.092,265.61
4.142,265.61
4.192,265.61
4.242,265.61
4.292,265.61
4.342,265.61
4.392,265.61
4.442,265.61
4.492,265.61
4.542,265.61
4.592,265.61
4.642,265.61
4.692,265.61
4.742,265.61
4.792,265.61
4.842,265.61
4.892,265.61
4.942,265.61
4.992,265.61
5.042,265.61
5.092,265.61
5.142,265.61
5.192,265.61
5.242,265.61
5.292,265.61
5.342,265.61
5.392,265.61
5.442,265.61
5.492,265.61
5.542,265.61
5.592,265.61
5.642,265.61
5.692,265.61
5.742,265.61
5.792,265.61
5.842,265.61
5.892,265.61
5.942,265.61
5.992,265.61
6.042,265.61
6.092,265.61
6.142,265.61
6.192,265.61
6.242,265.61
6.292,265.61
6.342,265.61
6.392,265.61
6.442,265.61
6.492,265.61
6.542,265.61
6.592,265.61
6.642,265.61
6.692,265.61
6.742,265.61
6.792,265.61
6.842,265.61
6.892,265.61
6.942,265.61
6.992,265.61
7.042,265.61
7.092,265.61
7.142,265.61
7.192,265.61
7.242,265.61
7.292,265.61
7.342,265.61
7.392,265.61
7.442,265.61
7.492,265.61
7.542,265.61
7.592,265.61
7.642,265.61
7.692,265.61
7.742,265.61
7.792,265.61
7.842,265.61
7.892,265.61
7.942,265.61
7.992,265.61
8.042,265.61
8.092,265.61
8.142,265.61
8.192,265.61
8.242,265.61
8.292,265.61
8.342,265.61
8.392,265.61
8.442,265.61
8.492,265.61
8.542,265.61
8.592,265.61
8.642,265.61
8.692,265.61
8.742,265.61
8.792,265.61
8.842,265.61
8.892,265.61
8.942,265.61
8.992,265.61
9.042,265.61
9.092,265.61
9.142,265.61
9.192,265.61
9.242,265.61
9.292,265.61
9.342,265.61
9.392,265.61
9.442,265.61
9.492,265.61
9.542,265.61
9.592,265.61
9.642,265.61
9.692,265.61
9.742,265.61
9.792,265.61
9.842,265.61
9.892,265.61
9.942,265.61
9.992,265.61
10.042,265.61
10.092,265.61
10.142,265.61
10.192,265.61
10.242,265.61
10.292,265.61
10.342,265.61
10.392,265.61
10.442,265.61
10.492,265.61
10.542,265.61
10.592,265.61
10.642,265.61
10.692,265.61
10.742,265.61
10.792,265.61
10.842,265.61
