2.2227,563.11,268.1,-77.626,0.097686,21.28,0,8.3645,0.45666
2.2727,576.42,264.26,-76.241,0.064179,21.28,0,8.1154,0.45626
2.3227,589.54,260.48,-74.813,0.083492,21.28,0,7.8764,0.45588
2.3727,602.47,256.77,-73.508,0.14895,21.28,0,7.6453,0.45551
2.4227,615.21,253.13,-72.332,0.095504,21.28,0,7.4202,0.45515
2.4727,627.78,249.54,-71.217,0.014721,21.28,0,7.2028,0.4548
2.5227,640.17,246,-70.178,0.11924,21.28,0,6.9918,0.45446
2.5727,652.38,242.52,-69.076,0.12649,21.28,0,6.7882,0.45413
2.6227,664.42,239.1,-67.948,0.054072,21.28,0,6.5911,0.45381
2.6727,676.29,235.73,-66.835,0.053547,21.28,0,6.4007,0.4535
2.7227,688,232.41,-65.791,0.11923,21.28,0,6.2164,0.45321
2.7727,699.53,229.15,-64.835,0.092453,21.28,0,6.0367,0.45291
2.8227,710.91,225.93,-63.923,0.043774,21.28,0,5.8626,0.45263
2.8727,722.13,222.75,-63.049,0.02355,21.28,0,5.6936,0.45236
2.9227,733.19,219.62,-62.204,0.094762,21.28,0,5.5296,0.45209
2.9727,744.09,216.53,-61.368,0.14233,21.28,0,5.3702,0.45183
3.0227,754.84,213.49,-60.502,0.10377,21.28,0,5.2156,0.45158
3.0727,765.44,210.48,-59.599,0.049813,21.28,0,5.0665,0.45134
3.1227,775.89,207.52,-58.735,0.20032,21.28,0,4.9228,0.4511
3.1727,786.19,204.61,-57.961,0.22128,21.28,0,4.782,0.45088
3.2227,796.35,201.73,-57.222,0.21474,21.28,0,4.6456,0.45065
3.2727,806.37,198.88,-56.54,0.1323,21.28,0,4.5124,0.45044
3.3227,816.24,196.07,-55.929,0.041728,21.28,0,4.3824,0.45022
3.3727,825.97,193.29,-55.334,0.19888,21.28,0,4.2565,0.45002
3.4227,835.57,190.54,-54.629,0.12872,21.28,0,4.135,0.44982
3.4727,845.03,187.83,-53.917,0.007393,21.28,0,4.0173,0.44963
3.5227,854.35,185.15,-53.272,0.021541,21.28,0,3.902,0.44944
3.5727,863.54,182.5,-52.681,0.019031,21.28,0,3.7891,0.44925
3.6227,872.6,179.88,-52.149,0.14174,21.28,0,3.6785,0.44907
3.6727,881.53,177.29,-51.558,0.12829,21.28,0,3.5715,0.44889
3.7227,890.33,174.72,-50.996,0.14088,21.28,0,3.4669,0.44872
3.7727,899,172.19,-50.454,0.1704,21.28,0,3.3645,0.44855
3.8227,907.55,169.68,-49.846,0.030079,21.28,0,3.2658,0.44839
3.8727,915.97,167.2,-49.304,0.0068065,21.28,0,3.169,0.44823
3.9227,924.27,164.75,-48.781,0.033384,21.28,0,3.0747,0.44808
3.9727,932.45,162.32,-48.255,0.10632,21.28,0,2.9834,0.44792
4.0227,940.5,159.92,-47.733,0.21145,21.28,0,2.8952,0.44778
4.0727,948.44,157.55,-47.246,0.26251,21.28,0,2.8091,0.44764
4.1227,956.26,155.2,-46.814,0.19529,21.28,0,2.724,0.4475
4.1727,963.96,152.87,-46.376,0.17629,21.28,0,2.6421,0.44736
4.2227,971.55,150.56,-45.961,0.12704,21.28,0,2.5621,0.44723
4.2727,979.02,148.27,-45.577,0.022138,21.28,0,2.4838,0.4471
4.3227,986.37,146,-45.215,0.11368,21.28,0,2.4073,0.44697
4.3727,993.62,143.75,-44.89,0.31385,21.28,0,2.3327,0.44685
4.4227,1000.7,141.51,-44.521,0.38044,21.28,0,2.26,0.44672
4.4727,1007.8,139.3,-44.101,0.30223,21.28,0,2.1892,0.44661
4.5227,1014.7,137.1,-43.68,0.18858,21.28,0,2.1201,0.44649
4.5727,1021.5,134.93,-43.263,0.048597,21.28,0,2.0529,0.44638
4.6227,1028.2,132.77,-42.881,0.024559,21.28,0,1.9872,0.44627
4.6727,1034.8,130.64,-42.503,0.12471,21.28,0,1.9234,0.44617
4.7227,1041.2,128.52,-42.136,0.22743,21.28,0,1.8615,0.44606
4.7727,1047.6,126.43,-41.775,0.35135,21.28,0,1.8017,0.44596
4.8227,1053.9,124.35,-41.472,0.28859,21.28,0,1.7418,0.44586
4.8727,1060,122.28,-41.182,0.20535,21.28,0,1.6835,0.44577
4.9227,1066.1,120.23,-40.919,0.049559,21.28,0,1.6263,0.44567
4.9727,1072.1,118.19,-40.681,0.1766,21.28,0,1.5705,0.44558
5.0227,1077.9,116.16,-40.371,0.10931,21.28,0,1.5172,0.44549
5.0727,1083.7,114.15,-40.068,0.036308,21.28,0,1.4653,0.4454
5.1227,1089.3,112.15,-39.797,0.058813,21.28,0,1.4142,0.44532
5.1727,1094.9,110.17,-39.535,0.09593,21.28,0,1.3644,0.44523
5.2227,1100.4,108.2,-39.291,0.17708,21.28,0,1.3155,0.44515
5.2727,1105.7,106.24,-39.006,0.062448,21.28,0,1.2685,0.44507
5.3227,1111,104.3,-38.729,0.057331,21.28,0,1.2228,0.44499
5.3727,1116.1,102.37,-38.486,0.049988,21.28,0,1.1778,0.44492
5.4227,1121.2,100.45,-38.237,0.10574,21.28,0,1.1341,0.44485
5.4727,1126.2,98.545,-37.97,0.28966,21.28,0,1.0925,0.44477
5.5227,1131.1,96.653,-37.732,0.36761,21.28,0,1.0514,0.44471
5.5727,1135.9,94.771,-37.511,0.38621,21.28,0,1.0111,0.44464
5.6227,1140.6,92.902,-37.291,0.43099,21.28,0,0.97214,0.44457
5.6727,1145.2,91.042,-37.102,0.33055,21.28,0,0.93335,0.44451
5.7227,1149.7,89.191,-36.923,0.20863,21.28,0,0.89557,0.44444
5.7727,1154.1,87.349,-36.762,0.0060943,21.28,0,0.85856,0.44438
